TITLE,LOCATIONS,Latitude,Longitude,IMAGE,DATE1,PLAYER1,EPISODE1,DATE2,PLAYER2,EPISODE2,DATE3,PLAYER3,EPISODE3,DATE4,PLAYER4,EPISODE4
Grandma Audrey,"Qualicum Beach, BC, Canada ",49.3509754,-124.4463199,"https://www.grandmatalks.ca/wp-content/uploads/2021/03/Ep001_Feature-Moto-scaled.jpeg

Here I choose the cover page of the 
first episode, but you can chose 
another one, of course :)","Saturday, June 13, ‎2020",https://www.grandmatalks.ca/wp-content/uploads/2021/03/AK_GramTalk_Episode1_Memoir.mp3, https://www.grandmatalks.ca/episode-1-memoir/,"Friday, September 25, ‎2020",https://www.grandmatalks.ca/wp-content/uploads/2021/03/AK_GramTalk_Episode2_Meeting-Herb.mp3,https://www.grandmatalks.ca/episode-2-meeting-herb/,"Tuesday, September 22, ‎2020",https://www.grandmatalks.ca/wp-content/uploads/2021/03/AK_GramTalk_Epsiode5_Mental-Health-Wedding.mp3,https://www.grandmatalks.ca/episode-3-mental-health-wedding/,"Sunday, August 23, ‎2021",https://www.grandmatalks.ca/wp-content/uploads/2021/03/AK_GramTalk_Epsiode6_Aboption.mp3,https://www.grandmatalks.ca/episode-6-audrey/
Grandma Audrey,"Vancouver,  BC, Canada

(if there is a especif point you want the
marker, you can write the coordinates 
or the address)",49.2578182,-123.2063043,"https://www.grandmatalks.ca/wp-content/uploads/2021/03/Ep001_Feature-Moto-scaled.jpeg

Here I choose the cover page of the 
first episode, but you can chose 
another one, of course :)","Saturday, June 13, ‎2020",https://www.grandmatalks.ca/wp-content/uploads/2021/03/AK_GramTalk_Episode1_Memoir.mp3, https://www.grandmatalks.ca/episode-1-memoir/,"Friday, September 25, ‎2020",https://www.grandmatalks.ca/wp-content/uploads/2021/03/AK_GramTalk_Episode2_Meeting-Herb.mp3,https://www.grandmatalks.ca/episode-2-meeting-herb/,"Tuesday, September 22, ‎2020",https://www.grandmatalks.ca/wp-content/uploads/2021/03/AK_GramTalk_Epsiode5_Mental-Health-Wedding.mp3,https://www.grandmatalks.ca/episode-3-mental-health-wedding/,"Sunday, August 23, ‎2021",https://www.grandmatalks.ca/wp-content/uploads/2021/03/AK_GramTalk_Epsiode6_Aboption.mp3,https://www.grandmatalks.ca/episode-6-audrey/
Grandma Sonia,"Montreal, QC, Canada",45.5593046,-73.8766804,https://www.grandmatalks.ca/wp-content/uploads/2021/03/Ep003_COVER.jpg,"Sunday, ‎December ‎20, ‎2015",https://www.grandmatalks.ca/wp-content/uploads/2021/03/GT_Episode-5-SonyaSonia-Letter.mp3,https://www.grandmatalks.ca/episode-5-receiving-letters-grandma-sonia/,"Saturday, ‎June ‎20, ‎2020",https://www.grandmatalks.ca/wp-content/uploads/2021/05/Episode-8-Grandma-Sonia.mp3,https://www.grandmatalks.ca/episode-8-grandma-sonia/,"Saturday, ‎June ‎20, ‎2020",https://www.grandmatalks.ca/wp-content/uploads/2021/04/Episode-9-Having-Own-Tablet.mp3,https://www.grandmatalks.ca/episode-9-grandma-sonia/, ,,
Grandma Sonia,"Sofia, Bulgaria",42.6955288,23.241546,https://www.grandmatalks.ca/wp-content/uploads/2021/03/Ep003_COVER.jpg,"Sunday, ‎December ‎20, ‎2015",https://www.grandmatalks.ca/wp-content/uploads/2021/03/GT_Episode-5-SonyaSonia-Letter.mp3,https://www.grandmatalks.ca/episode-5-receiving-letters-grandma-sonia/,"Saturday, ‎June ‎20, ‎2020",https://www.grandmatalks.ca/wp-content/uploads/2021/05/Episode-8-Grandma-Sonia.mp3,https://www.grandmatalks.ca/episode-8-grandma-sonia/,"Saturday, ‎June ‎20, ‎2020",https://www.grandmatalks.ca/wp-content/uploads/2021/04/Episode-9-Having-Own-Tablet.mp3,https://www.grandmatalks.ca/episode-9-grandma-sonia/, ,,
Bubby,"Saint Anne de Bellevue, QC, Canada",45.4240542,-73.97782,https://www.grandmatalks.ca/wp-content/uploads/2021/04/Ep004_Bubby-scaled.jpg,"Monday, December 14, ‎2020",https://www.grandmatalks.ca/wp-content/uploads/2021/04/MT_GramTalk_Episode4_Bubby.mp3,https://www.grandmatalks.ca/episode-4-grandma-bubby/,"Thursday, July 13, ‎2023",https://www.grandmatalks.ca/wp-content/uploads/2021/04/MT_GramTalk_Episode7_Bubby.mp3,https://www.grandmatalks.ca/episode-7-grandma-bubby/,, ,,,,
Bubby,"Cornwall, ON, Canada",45.0451896,-74.8392565,https://www.grandmatalks.ca/wp-content/uploads/2021/04/Ep004_Bubby-scaled.jpg,"Monday, December 14, ‎2020",https://www.grandmatalks.ca/wp-content/uploads/2021/04/MT_GramTalk_Episode4_Bubby.mp3,https://www.grandmatalks.ca/episode-4-grandma-bubby/,"Thursday, July 13, ‎2023",https://www.grandmatalks.ca/wp-content/uploads/2021/04/MT_GramTalk_Episode7_Bubby.mp3,https://www.grandmatalks.ca/episode-7-grandma-bubby/,,,,,,
Grandma Isabell,"Victoria, BC, Canada",48.4262587,-123.400422,https://www.grandmatalks.ca/wp-content/uploads/2021/05/Ep010_IsabellVictoria_feature.jpg,"Thursday, April 29, ‎2021",https://www.grandmatalks.ca/wp-content/uploads/2021/05/Ep010_Victoria_Isabell.mp3,https://www.grandmatalks.ca/episode-10-grandma-isabell/,"Thursday, April 29, ‎2021",https://www.grandmatalks.ca/wp-content/uploads/2021/05/Ep012.mp3,https://www.grandmatalks.ca/episode-12-grandma-isabell/,, ,, ,,
Grandma Isabell,"Whitehorse, YK, Canada",60.7023407,-135.7019039,https://www.grandmatalks.ca/wp-content/uploads/2021/05/Ep010_IsabellVictoria_feature.jpg,"Thursday, April 29, ‎2021",https://www.grandmatalks.ca/wp-content/uploads/2021/05/Ep010_Victoria_Isabell.mp3,https://www.grandmatalks.ca/episode-10-grandma-isabell/,"Thursday, April 29, ‎2021",https://www.grandmatalks.ca/wp-content/uploads/2021/05/Ep012.mp3,https://www.grandmatalks.ca/episode-12-grandma-isabell/,,,,,,
Baba Jackie,"Montreal, Canada",45.5273207,-73.8218459,https://www.grandmatalks.ca/wp-content/uploads/2023/10/Ep012_Jackie_baby_IMG_5619.jpg,"Wednesay, July 12, ‎2023",https://www.grandmatalks.ca/wp-content/uploads/2023/10/Ep012_BabaJackie-WorkshopCut.mp3,https://www.grandmatalks.ca/episode-12-baba-jackie/,, ,,,,,,,
Baba Jackie,"Montreal, Canada",45.6371686,-73.5153469,https://www.grandmatalks.ca/wp-content/uploads/2023/10/Ep012_Jackie_baby_IMG_5619.jpg,"Wednesay, July 12, ‎2023",https://www.grandmatalks.ca/wp-content/uploads/2023/10/Ep012_BabaJackie-WorkshopCut.mp3,https://www.grandmatalks.ca/episode-12-baba-jackie/,,,,,,,,,
Aunt Fran,"Montreal, Canada",45.4438577,-73.5701919,https://www.grandmatalks.ca/wp-content/uploads/2024/11/Ep014_Fran_Img02.png,"Thursday, July 13, ‎2023",https://www.grandmatalks.ca/wp-content/uploads/2024/10/Ep014_Great-Aunt-Fran-Stephanie.mp3,https://www.grandmatalks.ca/episode-14-great-aunt-fran/,,,,,,,,,
Aunt Fran,"Montreal, Canada",45.3722807,-73.7495289,https://www.grandmatalks.ca/wp-content/uploads/2024/11/Ep014_Fran_Img02.png,"Thursday, July 13, ‎2023",https://www.grandmatalks.ca/wp-content/uploads/2024/10/Ep014_Great-Aunt-Fran-Stephanie.mp3,https://www.grandmatalks.ca/episode-14-great-aunt-fran/,,,,,,,,,
Grandma Sue & Grace,"Whitehorse, YK, CA",60.7093795,-135.0262869,https://www.grandmatalks.ca/wp-content/uploads/2024/11/Ep015_Sue_Img01.5-1.jpeg,"Friday, December 8, ‎2023",https://www.grandmatalks.ca/wp-content/uploads/2024/11/Ep015_Sue_Grace.mp3,https://www.grandmatalks.ca/episode-15-grandma-sue/,,,,,,,,,
Grandma Sue & Grace,"Whitehorse, YK, CA",60.7005565,-135.1017299,https://www.grandmatalks.ca/wp-content/uploads/2024/11/Ep015_Sue_Img01.5-1.jpeg,"Friday, December 8, ‎2023",https://www.grandmatalks.ca/wp-content/uploads/2024/11/Ep015_Sue_Grace.mp3,https://www.grandmatalks.ca/episode-15-grandma-sue/,,,,,,,,,
Grandma Sue & Sarah,"Whitehorse, YK, CA",60.7093795,-135.0262869,https://www.grandmatalks.ca/wp-content/uploads/2024/11/Ep016_Sue_Img01.jpeg,"Thursday December 7, ‎2023",https://www.grandmatalks.ca/wp-content/uploads/2024/11/Ep016_Sue_Sarah.mp3,https://www.grandmatalks.ca/episode-16-grandma-sue/,,,,,,,,,
Grandma Sue & Sarah,"Sudbury, ON, Canada",46.583457,-81.7384904,https://www.grandmatalks.ca/wp-content/uploads/2024/11/Ep016_Sue_Img01.jpeg,"Thursday December 7, ‎2023",https://www.grandmatalks.ca/wp-content/uploads/2024/11/Ep016_Sue_Sarah.mp3,https://www.grandmatalks.ca/episode-16-grandma-sue/,,,,,,,,,
Grandma Sue & Lucy,"Whitehorse, YK, CA",60.7093795,-135.0262869,https://www.grandmatalks.ca/wp-content/uploads/2024/11/GT_Sue-Lucy-childhood.jpeg,"Sunday December 17, ‎2023",https://www.grandmatalks.ca/wp-content/uploads/2024/11/Ep017_Sue_Lucy.mp3,https://www.grandmatalks.ca/episode-17-grandma-sue/,,,,,,,,,
Grandma Sue & Lucy,"Kitchener, ON, Canada",43.4305294,-80.5587157,https://www.grandmatalks.ca/wp-content/uploads/2024/11/GT_Sue-Lucy-childhood.jpeg,"Sunday December 17, ‎2023",https://www.grandmatalks.ca/wp-content/uploads/2024/11/Ep017_Sue_Lucy.mp3,https://www.grandmatalks.ca/episode-17-grandma-sue/,,,,,,,,,
Vaneama Vilma,,,,https://www.grandmatalks.ca/wp-content/uploads/2024/10/Ep013_Vilma_cover.jpg, ,https://www.grandmatalks.ca/wp-content/uploads/2024/10/Ep013_Vilma_Vanaema_kleit.mp3,https://www.grandmatalks.ca/episode-13-vanaema-vilma/,,,,,,,,,
Vaneama Vilma,,,,https://www.grandmatalks.ca/wp-content/uploads/2024/10/Ep013_Vilma_cover.jpg, ,https://www.grandmatalks.ca/wp-content/uploads/2024/10/Ep013_Vilma_Vanaema_kleit.mp3,https://www.grandmatalks.ca/episode-13-vanaema-vilma/,,,,,,,,,